version,level,csv_type,source_folder,source_file,context_level,outer_fold,class_0_f1,class_1_f1,class_2_f1,class_3_f1,class_4_f1,class_5_f1,class_6_f1,class_7_f1,class_8_f1,class_9_f1
V3,L1,per_class_f1,L1_bert_V3,deberta_L1_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L1,0,0.7325301204819278,0.4818652849740932,0.6552567237163816,0.722077922077922,0.7688564476885645,0.5839793281653747,0.7761194029850748,0.6196473551637279,0.4538653366583541,0.6437346437346438
V3,L1,per_class_f1,L1_bert_V3,deberta_L1_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L1,0,0.7246376811594203,0.475,0.6921241050119332,0.7157894736842104,0.7318295739348372,0.5843828715365238,0.7868020304568527,0.6259541984732825,0.4205128205128206,0.6183574879227053
V3,L1,per_class_f1,L1_bert_V3,deberta_L1_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L1,1,0.7639902676399027,0.4540816326530613,0.6734177215189874,0.731958762886598,0.6898263027295285,0.6217616580310881,0.7794117647058824,0.645,0.4755244755244756,0.6288659793814433
V3,L1,per_class_f1,L1_bert_V3,deberta_L1_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L1,2,0.7027027027027027,0.4975124378109453,0.6777251184834123,0.7499999999999999,0.7079207920792078,0.6582914572864322,0.7865707434052758,0.5808219178082192,0.429951690821256,0.6149870801033591
V3,L1,per_class_f1,L1_bert_V3,deberta_L1_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L1,3,0.7277227722772278,0.4240963855421686,0.7014925373134329,0.7129186602870814,0.6870588235294117,0.5943152454780362,0.7740259740259741,0.5674931129476584,0.3667481662591687,0.5918367346938774
V3,L1,per_class_f1,L1_bert_V3,deberta_L1_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L1,4,0.6962616822429907,0.4928909952606635,0.6564885496183206,0.7272727272727272,0.7197943444730077,0.6265664160401003,0.7858823529411764,0.5660377358490566,0.5257985257985258,0.6108108108108108
V3,L1,per_class_f1,L1_bert_V3,deberta_L1_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L1,5,0.7017543859649122,0.4717444717444717,0.7294685990338164,0.7204030226700252,0.7397959183673469,0.629156010230179,0.7848101265822786,0.6424870466321244,0.4625850340136054,0.6296296296296295
V3,L1,per_class_f1,L1_bert_V3,deberta_L1_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L1,6,0.7169811320754718,0.4607843137254902,0.7043701799485862,0.7587939698492463,0.74,0.6054590570719603,0.734375,0.6486486486486487,0.3865979381443298,0.656641604010025
V3,L1,per_class_f1,L1_bert_V3,deberta_L1_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L1,7,0.7401574803149606,0.4766839378238342,0.6828087167070217,0.755,0.7277353689567431,0.6142131979695431,0.7692307692307692,0.6258503401360545,0.3969072164948454,0.6185567010309279
V3,L1,per_class_f1,L1_bert_V3,deberta_L1_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L1,8,0.729528535980149,0.4936386768447837,0.7230046948356806,0.7368421052631577,0.7029702970297029,0.6066838046272494,0.7788944723618091,0.5772151898734177,0.4428571428571429,0.6122448979591836
V3,L1,per_class_f1,L1_bert_V3,deberta_L1_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L1,9,0.7076167076167076,0.4973821989528796,0.6666666666666666,0.7286821705426357,0.6716417910447763,0.6555023923444976,0.7519582245430809,0.6683417085427136,0.4390243902439024,0.6370370370370371
V3,L2,per_class_f1,L2_bert_v3,deberta_L2_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L2,0,0.8059701492537314,0.5577889447236181,0.8038740920096852,0.8571428571428572,0.8369829683698298,0.7630922693266834,0.824390243902439,0.8350515463917526,0.5616797900262467,0.7464114832535885
V3,L2,per_class_f1,L2_bert_v3,deberta_L2_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L2,1,0.8428927680798004,0.5611510791366906,0.81203007518797,0.8607594936708861,0.8578313253012048,0.7890818858560794,0.8894348894348894,0.8138297872340425,0.5706940874035991,0.743718592964824
V3,L2,per_class_f1,L2_bert_v3,deberta_L2_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L2,2,0.801007556675063,0.5671641791044776,0.8399999999999999,0.8622448979591837,0.8467153284671532,0.7493917274939172,0.8716707021791766,0.8219895287958116,0.5879518072289156,0.7427055702917772
V3,L2,per_class_f1,L2_bert_v3,deberta_L2_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L2,3,0.7913669064748202,0.5611510791366906,0.8261964735516373,0.8557213930348259,0.8528678304239402,0.7883211678832117,0.8691358024691358,0.7823834196891192,0.5208333333333334,0.7473684210526317
V3,L2,per_class_f1,L2_bert_v3,deberta_L2_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L2,4,0.8390243902439023,0.5651105651105651,0.8312342569269522,0.8585858585858585,0.8571428571428571,0.7463414634146341,0.8444444444444444,0.8380462724935733,0.6259168704156479,0.7407407407407408
V3,L2,per_class_f1,L2_bert_v3,deberta_L2_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L2,5,0.7857142857142857,0.5392156862745098,0.8309178743961353,0.8418491484184916,0.8629441624365483,0.7461139896373057,0.8520408163265306,0.7969543147208122,0.5441176470588236,0.748129675810474
V3,L2,per_class_f1,L2_bert_v3,deberta_L2_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L2,6,0.7911547911547911,0.54320987654321,0.8514851485148515,0.8571428571428571,0.85,0.7506172839506172,0.816326530612245,0.8062827225130889,0.5846153846153846,0.7383863080684597
V3,L2,per_class_f1,L2_bert_v3,deberta_L2_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L2,7,0.8410256410256411,0.5847665847665847,0.8421052631578947,0.8922305764411028,0.8613861386138614,0.7681159420289855,0.8734491315136477,0.8086124401913876,0.5454545454545454,0.7397959183673469
V3,L2,per_class_f1,L2_bert_v3,deberta_L2_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L2,8,0.8312342569269522,0.6292682926829268,0.8317307692307693,0.8658227848101265,0.8619854721549637,0.8020565552699229,0.8676470588235293,0.8082901554404146,0.6173469387755102,0.7715736040609137
V3,L2,per_class_f1,L2_bert_v3,deberta_L2_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L2,9,0.809278350515464,0.5079365079365079,0.8267326732673267,0.8469387755102041,0.8375634517766498,0.7761904761904761,0.8080808080808082,0.8110831234256927,0.6009389671361501,0.760493827160494
V3,L3,per_class_f1,L3_bert_v3,deberta_L3_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L3,0,0.8578680203045685,0.6504854368932038,0.8452088452088452,0.9057591623036648,0.8957345971563981,0.8186528497409327,0.8648648648648648,0.8622448979591837,0.5912596401028276,0.7775061124694376
V3,L3,per_class_f1,L3_bert_v3,deberta_L3_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L3,1,0.8557213930348259,0.6560364464692483,0.8608247422680413,0.914572864321608,0.8933002481389578,0.8179551122194513,0.8878048780487805,0.8492462311557788,0.6091644204851752,0.8
V3,L3,per_class_f1,L3_bert_v3,deberta_L3_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L3,2,0.830379746835443,0.5876543209876544,0.8728179551122195,0.8984771573604061,0.877450980392157,0.8325123152709358,0.8960396039603961,0.8542713567839195,0.6169154228855721,0.7958656330749354
V3,L3,per_class_f1,L3_bert_v3,deberta_L3_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L3,3,0.839622641509434,0.6376146788990826,0.8721804511278195,0.9014778325123154,0.9004975124378108,0.8431372549019608,0.9002557544757034,0.8298969072164949,0.6043956043956045,0.7905759162303665
V3,L3,per_class_f1,L3_bert_v3,deberta_L3_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L3,4,0.8668280871670703,0.6551724137931035,0.8659793814432989,0.8994974874371859,0.914141414141414,0.8304668304668306,0.9041769041769042,0.885,0.6616541353383459,0.7668393782383419
V3,L3,per_class_f1,L3_bert_v3,deberta_L3_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L3,5,0.8447837150127224,0.6270783847980997,0.8697788697788698,0.9054726368159204,0.8684863523573201,0.8089330024813896,0.8781725888324873,0.8375634517766498,0.5974683544303797,0.8247422680412372
V3,L3,per_class_f1,L3_bert_v3,deberta_L3_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L3,6,0.8282828282828283,0.6127450980392157,0.8822055137844611,0.9185185185185186,0.905,0.8221153846153847,0.8933002481389578,0.8442211055276383,0.6233062330623307,0.788177339901478
V3,L3,per_class_f1,L3_bert_v3,deberta_L3_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L3,7,0.8396946564885495,0.6063348416289593,0.8689320388349514,0.9113924050632912,0.8883248730964467,0.8240963855421686,0.8938271604938272,0.87,0.5480225988700564,0.7538461538461538
V3,L3,per_class_f1,L3_bert_v3,deberta_L3_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L3,8,0.8578680203045685,0.6893424036281179,0.86810551558753,0.8934010152284264,0.8960396039603961,0.8542713567839195,0.912280701754386,0.8380462724935733,0.6391184573002754,0.8329177057356607
V3,L3,per_class_f1,L3_bert_v3,deberta_L3_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L3,9,0.8132992327365729,0.6586538461538463,0.8423645320197045,0.8979591836734694,0.8549222797927462,0.8312342569269522,0.8684863523573201,0.8484848484848485,0.6501240694789082,0.7804878048780488
V3,L4,per_class_f1,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L4,0,0.858560794044665,0.6928746928746928,0.8571428571428571,0.914141414141414,0.8943488943488944,0.8512820512820513,0.8937198067632851,0.8704663212435233,0.6337662337662338,0.7980295566502462
V3,L4,per_class_f1,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L4,1,0.8790123456790123,0.7002288329519452,0.8771929824561404,0.9280397022332506,0.918781725888325,0.8444444444444444,0.8894348894348894,0.875,0.6574585635359117,0.8041237113402062
V3,L4,per_class_f1,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L4,2,0.845771144278607,0.6995073891625615,0.8992628992628994,0.9273182957393484,0.8905472636815921,0.8721804511278195,0.9207920792079208,0.884318766066838,0.6601466992665038,0.8146214099216711
V3,L4,per_class_f1,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L4,3,0.8509615384615384,0.6699507389162562,0.8994974874371859,0.9077306733167084,0.8982630272952853,0.8839506172839507,0.903061224489796,0.8838383838383839,0.6259541984732825,0.7897435897435898
V3,L4,per_class_f1,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L4,4,0.8856447688564477,0.7047619047619048,0.8730964467005077,0.8987654320987655,0.9081632653061226,0.85995085995086,0.9135802469135802,0.8916876574307305,0.680628272251309,0.8113695090439277
V3,L4,per_class_f1,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L4,5,0.8489583333333334,0.6485148514851484,0.8840579710144928,0.9253731343283582,0.8762376237623763,0.8349514563106797,0.8928571428571429,0.8686868686868686,0.6493506493506493,0.8255528255528256
V3,L4,per_class_f1,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L4,6,0.85,0.6486486486486486,0.8883248730964467,0.9310344827586208,0.9238329238329238,0.8478802992518704,0.9064039408866996,0.8664987405541562,0.6567164179104478,0.8057553956834531
V3,L4,per_class_f1,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L4,7,0.8542199488491049,0.7011764705882353,0.9135802469135802,0.93734335839599,0.8956743002544529,0.8537170263788969,0.902439024390244,0.8784119106699751,0.6318681318681318,0.8346055979643766
V3,L4,per_class_f1,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L4,8,0.8844221105527638,0.7230046948356806,0.8735083532219571,0.903061224489796,0.903846153846154,0.8673469387755102,0.914572864321608,0.8775510204081632,0.6527415143603132,0.8333333333333333
V3,L4,per_class_f1,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_per_class_f1.csv,L4,9,0.8298969072164949,0.7139240506329114,0.8515815085158152,0.921875,0.8753180661577609,0.8762376237623763,0.8994974874371859,0.858611825192802,0.7007299270072993,0.8009367681498829
