context_level,representation,outer_fold,best_lr,best_inner_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,lr_scores_json
L3,deberta_base_finetune_bs32_fp32,0,2e-05,0.8018502389816017,0.8095,0.8092943223643136,0.8092943223643134,"{""5e-06"": 0.776526291065401, ""1e-05"": 0.7927348882068298, ""2e-05"": 0.8018502389816017}"
L3,deberta_base_finetune_bs32_fp32,1,2e-05,0.8046985193716941,0.808,0.8062742828893834,0.8062742828893834,"{""5e-06"": 0.7719811010164656, ""1e-05"": 0.7957005225140695, ""2e-05"": 0.8046985193716941}"
L3,deberta_base_finetune_bs32_fp32,2,2e-05,0.8035489812485318,0.8115,0.8113931668741868,0.8113931668741867,"{""5e-06"": 0.7680521600833035, ""1e-05"": 0.791783824494817, ""2e-05"": 0.8035489812485318}"
L3,deberta_base_finetune_bs32_fp32,3,2e-05,0.8058968134789576,0.8125,0.8119654553706592,0.8119654553706591,"{""5e-06"": 0.767510575340283, ""1e-05"": 0.7927539314428046, ""2e-05"": 0.8058968134789576}"
L3,deberta_base_finetune_bs32_fp32,4,2e-05,0.7985014382025867,0.8295,0.8290314700498236,0.8290314700498235,"{""5e-06"": 0.7694865365400636, ""1e-05"": 0.7901758447122487, ""2e-05"": 0.7985014382025867}"
L3,deberta_base_finetune_bs32_fp32,5,2e-05,0.8052474551069847,0.807,0.8074643805394173,0.8074643805394173,"{""5e-06"": 0.7683011661279272, ""1e-05"": 0.7917800544971688, ""2e-05"": 0.8052474551069847}"
L3,deberta_base_finetune_bs32_fp32,6,2e-05,0.8070617218939796,0.813,0.8117872269870814,0.8117872269870813,"{""5e-06"": 0.7717393101661729, ""1e-05"": 0.7944300528988247, ""2e-05"": 0.8070617218939796}"
L3,deberta_base_finetune_bs32_fp32,7,2e-05,0.8068608946587944,0.8015,0.8004471113864404,0.8004471113864404,"{""5e-06"": 0.7716173783269263, ""1e-05"": 0.7949794562833231, ""2e-05"": 0.8068608946587944}"
L3,deberta_base_finetune_bs32_fp32,8,2e-05,0.8033394780172317,0.8285,0.8281391052776854,0.8281391052776854,"{""5e-06"": 0.7683093883975749, ""1e-05"": 0.7912950033470968, ""2e-05"": 0.8033394780172317}"
L3,deberta_base_finetune_bs32_fp32,9,2e-05,0.8029549758100075,0.8115,0.8127474185851836,0.8127474185851838,"{""5e-06"": 0.7725807553409783, ""1e-05"": 0.791146066439909, ""2e-05"": 0.8029549758100075}"
