context_level,representation,outer_fold,label,f1
L1,bert,8,6,0.7456790123456789
L1,bert,8,7,0.5541561712846349
L1,bert,8,8,0.3848101265822785
L1,bert,8,9,0.5522388059701493
L1,bert,9,0,0.6146095717884131
L1,bert,9,1,0.45544554455445546
L1,bert,9,2,0.5653206650831354
L1,bert,9,3,0.6531645569620254
L1,bert,9,4,0.673076923076923
L1,bert,9,5,0.5482233502538071
L1,bert,9,6,0.7412935323383085
L1,bert,9,7,0.5173333333333334
L1,bert,9,8,0.3737864077669903
L1,bert,9,9,0.5885416666666666
L1,bert,10,0,0.5940594059405941
L1,bert,10,1,0.35978835978835977
L1,bert,10,2,0.5747663551401869
L1,bert,10,3,0.6855670103092784
L1,bert,10,4,0.6253101736972705
L1,bert,10,5,0.585
L1,bert,10,6,0.7022900763358778
L1,bert,10,7,0.5417721518987343
L1,bert,10,8,0.3922518159806296
L1,bert,10,9,0.5125628140703518
L2,bert,1,0,0.7830188679245284
L2,bert,1,1,0.4688279301745636
L2,bert,1,2,0.7475247524752475
L2,bert,1,3,0.8010752688172043
L2,bert,1,4,0.7665847665847665
L2,bert,1,5,0.7100000000000001
L2,bert,1,6,0.7941176470588236
L2,bert,1,7,0.74934036939314
L2,bert,1,8,0.4787234042553191
L2,bert,1,9,0.6573426573426573
L2,bert,2,0,0.7180722891566265
L2,bert,2,1,0.5604113110539846
L2,bert,2,2,0.7223587223587223
L2,bert,2,3,0.859375
L2,bert,2,4,0.8157248157248156
L2,bert,2,5,0.7009803921568628
L2,bert,2,6,0.8465346534653465
L2,bert,2,7,0.7645569620253165
L2,bert,2,8,0.5380710659898477
L2,bert,2,9,0.6851385390428212
L2,bert,3,0,0.7696078431372549
L2,bert,3,1,0.46004842615012104
L2,bert,3,2,0.7772277227722774
L2,bert,3,3,0.8009828009828011
L2,bert,3,4,0.7932692307692307
L2,bert,3,5,0.6717171717171717
L2,bert,3,6,0.8337468982630273
L2,bert,3,7,0.7268041237113401
L2,bert,3,8,0.4895833333333333
L2,bert,3,9,0.6561679790026247
L2,bert,4,0,0.7476190476190476
L2,bert,4,1,0.4732824427480916
L2,bert,4,2,0.7647058823529411
