context_level,model,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1
L1,bilstm_word2vec,0.24089999999999998,0.02268846990580605,0.1877185975580755,0.03647780077244072,0.18771859755807546,0.0364778007724407
L2,bilstm_word2vec,0.35225,0.03114147823509133,0.32546508450657524,0.04107814498389871,0.32546508450657524,0.041078144983898716
L3,bilstm_word2vec,0.45445,0.03165916577829835,0.43515425718452533,0.03540999611421171,0.43515425718452533,0.03540999611421166
L4,bilstm_word2vec,0.49955,0.03732101731375142,0.48893921765384185,0.039323364527651616,0.48893921765384185,0.03932336452765158
