context_level,outer_fold,class_0_f1,class_1_f1,class_2_f1,class_3_f1,class_4_f1,class_5_f1,class_6_f1,class_7_f1,class_8_f1,class_9_f1
L2,0,0.7860696517412936,0.5352798053527982,0.79126213592233,0.8435013262599469,0.8523809523809525,0.755,0.836272040302267,0.8031088082901554,0.5549738219895288,0.7167070217917675
L2,1,0.8428927680798004,0.5611510791366906,0.81203007518797,0.8607594936708861,0.8578313253012048,0.7890818858560794,0.8894348894348894,0.8138297872340425,0.5706940874035991,0.743718592964824
L2,2,0.8050632911392405,0.542713567839196,0.8431372549019608,0.8680203045685279,0.8634146341463415,0.7658536585365853,0.8759124087591241,0.8157894736842106,0.5871121718377088,0.768
L2,3,0.817102137767221,0.5349397590361447,0.8345679012345678,0.8762376237623763,0.8706467661691543,0.7921760391198045,0.8706467661691543,0.7798408488063661,0.5260416666666666,0.7401574803149606
L2,4,0.8515815085158152,0.5588235294117646,0.8118811881188118,0.8461538461538461,0.8556962025316455,0.7421686746987952,0.8725490196078431,0.824468085106383,0.6188118811881188,0.7352185089974294
L2,5,0.792838874680307,0.5339805825242718,0.8226950354609929,0.8620689655172414,0.8542199488491049,0.7500000000000001,0.8743718592964824,0.8103896103896104,0.5245098039215687,0.7563451776649747
L2,6,0.7911547911547911,0.54320987654321,0.8514851485148515,0.8571428571428571,0.85,0.7506172839506172,0.816326530612245,0.8062827225130889,0.5846153846153846,0.7383863080684597
L2,7,0.8467532467532468,0.5728643216080402,0.824390243902439,0.8938271604938272,0.8697788697788698,0.7577937649880097,0.874074074074074,0.835820895522388,0.5354330708661418,0.7692307692307692
L2,8,0.8484848484848485,0.6282973621103118,0.8158508158508158,0.8455696202531644,0.8697788697788698,0.7919799498746867,0.8678304239401496,0.79155672823219,0.6201550387596899,0.7846153846153846
L2,9,0.8177083333333334,0.543640897755611,0.8157248157248156,0.8434343434343434,0.8484848484848485,0.7761904761904761,0.8286445012787724,0.8350515463917526,0.6131386861313868,0.768472906403941
