context_level,representation,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
L1,bert,0.5710500000000001,0.010245459699029827,0.5703786694931727,0.010031429772848216,0.5703786694931728,0.010031429772848188
L2,bert,0.7034,0.009206881484339131,0.7023345775221158,0.009429012070118498,0.7023345775221159,0.009429012070118462
L3,bert,0.7334499999999999,0.008334833198357629,0.7322562762385699,0.009037110893847336,0.7322562762385699,0.009037110893847388
L4,bert,0.7518,0.01000055554012429,0.7504382356608587,0.010426851646242989,0.7504382356608587,0.010426851646242933
