context_level,outer_fold,class_0_f1,class_1_f1,class_2_f1,class_3_f1,class_4_f1,class_5_f1,class_6_f1,class_7_f1,class_8_f1,class_9_f1
L2,0,0.8059701492537314,0.5577889447236181,0.8038740920096852,0.8571428571428572,0.8369829683698298,0.7630922693266834,0.824390243902439,0.8350515463917526,0.5616797900262467,0.7464114832535885
L2,1,0.8428927680798004,0.5611510791366906,0.81203007518797,0.8607594936708861,0.8578313253012048,0.7890818858560794,0.8894348894348894,0.8138297872340425,0.5706940874035991,0.743718592964824
L2,2,0.801007556675063,0.5671641791044776,0.8399999999999999,0.8622448979591837,0.8467153284671532,0.7493917274939172,0.8716707021791766,0.8219895287958116,0.5879518072289156,0.7427055702917772
L2,3,0.7913669064748202,0.5611510791366906,0.8261964735516373,0.8557213930348259,0.8528678304239402,0.7883211678832117,0.8691358024691358,0.7823834196891192,0.5208333333333334,0.7473684210526317
L2,4,0.8390243902439023,0.5651105651105651,0.8312342569269522,0.8585858585858585,0.8571428571428571,0.7463414634146341,0.8444444444444444,0.8380462724935733,0.6259168704156479,0.7407407407407408
L2,5,0.7857142857142857,0.5392156862745098,0.8309178743961353,0.8418491484184916,0.8629441624365483,0.7461139896373057,0.8520408163265306,0.7969543147208122,0.5441176470588236,0.748129675810474
L2,6,0.7911547911547911,0.54320987654321,0.8514851485148515,0.8571428571428571,0.85,0.7506172839506172,0.816326530612245,0.8062827225130889,0.5846153846153846,0.7383863080684597
L2,7,0.8410256410256411,0.5847665847665847,0.8421052631578947,0.8922305764411028,0.8613861386138614,0.7681159420289855,0.8734491315136477,0.8086124401913876,0.5454545454545454,0.7397959183673469
L2,8,0.8312342569269522,0.6292682926829268,0.8317307692307693,0.8658227848101265,0.8619854721549637,0.8020565552699229,0.8676470588235293,0.8082901554404146,0.6173469387755102,0.7715736040609137
L2,9,0.809278350515464,0.5079365079365079,0.8267326732673267,0.8469387755102041,0.8375634517766498,0.7761904761904761,0.8080808080808082,0.8110831234256927,0.6009389671361501,0.760493827160494
