context_level,algorithm,representation,outer_fold,label,f1
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,7,6,0.6888361045130641
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,7,7,0.5378590078328981
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,7,8,0.3218997361477572
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,7,9,0.5642458100558659
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,8,0,0.6860158311345647
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,8,1,0.4106666666666667
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,8,2,0.5578947368421053
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,8,3,0.6189473684210526
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,8,4,0.6386138613861386
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,8,5,0.5492227979274611
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,8,6,0.7481662591687042
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,8,7,0.563049853372434
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,8,8,0.3128491620111732
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,8,9,0.5354969574036511
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,9,0,0.5925925925925927
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,9,1,0.4180790960451977
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,9,2,0.5833333333333334
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,9,3,0.6875
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,9,4,0.6843501326259948
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,9,5,0.5642458100558659
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,9,6,0.673960612691466
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,9,7,0.4854881266490765
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,9,8,0.40169133192389
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,9,9,0.5468750000000001
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,10,0,0.6333333333333333
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,10,1,0.3066202090592335
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,10,2,0.55
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,10,3,0.6880000000000001
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,10,4,0.6355140186915889
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,10,5,0.5951219512195122
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,10,6,0.6666666666666667
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,10,7,0.5581395348837209
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,10,8,0.3482587064676616
L1,BiLSTM,precomputed_frozen_bert_token_embeddings,10,9,0.510752688172043
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,1,0,0.7688679245283018
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,1,1,0.4753363228699552
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,1,2,0.735576923076923
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,1,3,0.7862796833773087
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,1,4,0.7668393782383419
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,1,5,0.6882793017456359
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,1,6,0.8059701492537314
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,1,7,0.7035175879396985
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,1,8,0.45
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,1,9,0.6649484536082474
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,2,0,0.76
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,2,1,0.5614754098360656
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,2,2,0.695852534562212
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,2,3,0.8517520215633423
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,2,4,0.794044665012407
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,2,5,0.6964705882352941
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,2,6,0.8395061728395061
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,2,7,0.7475247524752475
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,2,8,0.282258064516129
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,2,9,0.6872037914691943
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,3,0,0.7715736040609137
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,3,1,0.4659685863874345
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,3,2,0.7400881057268722
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,3,3,0.7969924812030076
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,3,4,0.7788461538461539
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,3,5,0.635
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,3,6,0.8214285714285714
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,3,7,0.6649076517150396
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,3,8,0.4836272040302267
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,3,9,0.6718346253229974
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,4,0,0.7421686746987952
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,4,1,0.4919540229885057
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,4,2,0.7146974063400576
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,4,3,0.832904884318766
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,4,4,0.7760416666666667
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,4,5,0.6853146853146852
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,4,6,0.832904884318766
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,4,7,0.6391304347826087
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,4,8,0.4476744186046512
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,4,9,0.6519607843137255
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,5,0,0.7841191066997518
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,5,1,0.4720194647201946
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,5,2,0.7599067599067598
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,5,3,0.8203753351206433
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,5,4,0.7544642857142857
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,5,5,0.6793349168646081
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,5,6,0.8294930875576038
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,5,7,0.7359999999999999
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,5,8,0.5363128491620112
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,5,9,0.6264367816091955
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,6,0,0.7493540051679586
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,6,1,0.453257790368272
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,6,2,0.760493827160494
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,6,3,0.8211586901763224
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,6,4,0.7938931297709924
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,6,5,0.662004662004662
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,6,6,0.7685185185185185
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,6,7,0.7461928934010152
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,6,8,0.4557640750670241
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,6,9,0.691075514874142
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,7,0,0.7363420427553443
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,7,1,0.3450704225352112
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,7,2,0.7637231503579952
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,7,3,0.8153153153153153
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,7,4,0.780045351473923
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,7,5,0.6375545851528384
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,7,6,0.7494456762749444
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,7,7,0.7374301675977653
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,7,8,0.4672364672364672
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,7,9,0.6541554959785522
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,8,0,0.7649769585253456
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,8,1,0.4676056338028169
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,8,2,0.7545219638242894
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,8,3,0.8050632911392405
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,8,4,0.7814207650273224
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,8,5,0.6767241379310345
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,8,6,0.7953488372093024
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,8,7,0.7513227513227513
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,8,8,0.4426666666666667
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,8,9,0.6826923076923077
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,9,0,0.7512437810945273
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,9,1,0.4741641337386018
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,9,2,0.7566265060240963
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,9,3,0.8118811881188118
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,9,4,0.7889447236180904
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,9,5,0.6775956284153004
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,9,6,0.7798165137614678
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,9,7,0.7446808510638298
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,9,8,0.5305263157894737
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,9,9,0.6616541353383459
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,10,0,0.735
L2,BiLSTM,precomputed_frozen_bert_token_embeddings,10,1,0.5476772616136919
