context_level,representation,outer_fold,best_lr,best_inner_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,lr_scores_json
L1,deberta_base_finetune,0,2e-05,0.6206029504325744,0.633,0.6318498262814238,0.6318498262814238,"{""5e-06"": 0.584338273657999, ""1e-05"": 0.6083146750866417, ""2e-05"": 0.6206029504325744}"
L1,deberta_base_finetune,1,2e-05,0.6247636943844422,0.6475,0.6474730278433967,0.6474730278433968,"{""5e-06"": 0.5821936986825258, ""1e-05"": 0.6077052796946033, ""2e-05"": 0.6247636943844422}"
L1,deberta_base_finetune,2,2e-05,0.6208396656728821,0.642,0.6414246202666345,0.6414246202666346,"{""5e-06"": 0.5779294238206784, ""1e-05"": 0.6059572902591938, ""2e-05"": 0.6208396656728821}"
L1,deberta_base_finetune,3,2e-05,0.6222775330622282,0.623,0.6202062324394648,0.6202062324394649,"{""5e-06"": 0.5814703249162179, ""1e-05"": 0.6080508615852114, ""2e-05"": 0.6222775330622282}"
L1,deberta_base_finetune,4,2e-05,0.6215881877174975,0.6315,0.6305173362321483,0.6305173362321485,"{""5e-06"": 0.579669763919633, ""1e-05"": 0.6072692738403922, ""2e-05"": 0.6215881877174975}"
L1,deberta_base_finetune,5,2e-05,0.6216566178945672,0.6305,0.6308278031358785,0.6308278031358786,"{""5e-06"": 0.5785511446508863, ""1e-05"": 0.6072879352702707, ""2e-05"": 0.6216566178945672}"
L1,deberta_base_finetune,6,2e-05,0.6243546019929314,0.634,0.6333048662140528,0.6333048662140528,"{""5e-06"": 0.5810409307911685, ""1e-05"": 0.6056988104882772, ""2e-05"": 0.6243546019929314}"
L1,deberta_base_finetune,7,2e-05,0.6264820492886078,0.6445,0.6423474845598063,0.6423474845598065,"{""5e-06"": 0.5776483395479497, ""1e-05"": 0.6076183988297846, ""2e-05"": 0.6264820492886078}"
L1,deberta_base_finetune,8,2e-05,0.6239260051160399,0.641,0.640557488107618,0.640557488107618,"{""5e-06"": 0.5795850769442442, ""1e-05"": 0.6051839021899744, ""2e-05"": 0.6239260051160399}"
L1,deberta_base_finetune,9,2e-05,0.6245244861946918,0.639,0.6391864533882422,0.6391864533882422,"{""5e-06"": 0.5782555625027089, ""1e-05"": 0.6055649525446075, ""2e-05"": 0.6245244861946918}"
