version,level,csv_type,source_folder,source_file,context_level,representation,outer_fold,best_lr,best_inner_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,lr_scores_json
V3,L3,fold_progress,L3_bert_v3,deberta_L3_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_fold_progress (2).csv,L3,deberta_base_finetune_bs32_fp32,9,5e-05,0.8044881465842968,0.8035,0.8046016406502418,0.8046016406502416,"{""2e-05"": 0.8029549758100075, ""5e-05"": 0.8044881465842968, ""8e-05"": 0.8008679229731684}"
V3,L4,fold_progress,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_fold_progress.csv,L4,deberta_base_finetune_bs32_fp32,0,2e-05,0.8242250988962496,0.827,0.8264332622257863,0.8264332622257862,"{""2e-05"": 0.8242250988962496, ""5e-05"": 0.8242067691844573, ""8e-05"": 0.8232906734886724}"
V3,L4,fold_progress,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_fold_progress.csv,L4,deberta_base_finetune_bs32_fp32,1,5e-05,0.8238502041754133,0.838,0.8373717197964125,0.8373717197964126,"{""2e-05"": 0.8224544694726829, ""5e-05"": 0.8238502041754133, ""8e-05"": 0.8200202376091433}"
V3,L4,fold_progress,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_fold_progress.csv,L4,deberta_base_finetune_bs32_fp32,2,5e-05,0.8261325563078866,0.841,0.8414466397715762,0.8414466397715761,"{""2e-05"": 0.8205486356526123, ""5e-05"": 0.8261325563078866, ""8e-05"": 0.8255801930010125}"
V3,L4,fold_progress,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_fold_progress.csv,L4,deberta_base_finetune_bs32_fp32,3,5e-05,0.8243586379619742,0.8315,0.8312951479255977,0.8312951479255977,"{""2e-05"": 0.8218788216730601, ""5e-05"": 0.8243586379619742, ""8e-05"": 0.8227742978539921}"
V3,L4,fold_progress,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_fold_progress.csv,L4,deberta_base_finetune_bs32_fp32,4,5e-05,0.824887716058739,0.843,0.8427648363314155,0.8427648363314156,"{""2e-05"": 0.817211563266851, ""5e-05"": 0.824887716058739, ""8e-05"": 0.8210278306472208}"
V3,L4,fold_progress,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_fold_progress.csv,L4,deberta_base_finetune_bs32_fp32,5,5e-05,0.8276949266552537,0.826,0.8254540856681876,0.8254540856681877,"{""2e-05"": 0.8257335188398223, ""5e-05"": 0.8276949266552537, ""8e-05"": 0.8246107783729139}"
V3,L4,fold_progress,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_fold_progress.csv,L4,deberta_base_finetune_bs32_fp32,6,5e-05,0.8239267457659007,0.834,0.8325095722623267,0.8325095722623266,"{""2e-05"": 0.8234171020399471, ""5e-05"": 0.8239267457659007, ""8e-05"": 0.82169865032931}"
V3,L4,fold_progress,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_fold_progress.csv,L4,deberta_base_finetune_bs32_fp32,7,5e-05,0.8312739440349523,0.8415,0.8403036016272987,0.8403036016272987,"{""2e-05"": 0.8237733976856534, ""5e-05"": 0.8312739440349523, ""8e-05"": 0.8231477252147407}"
V3,L4,fold_progress,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_fold_progress.csv,L4,deberta_base_finetune_bs32_fp32,8,5e-05,0.8262085692672989,0.8435,0.8433388208145279,0.843338820814528,"{""2e-05"": 0.8185950322983068, ""5e-05"": 0.8262085692672989, ""8e-05"": 0.8219754342601809}"
V3,L4,fold_progress,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_fold_progress.csv,L4,deberta_base_finetune_bs32_fp32,9,5e-05,0.8226963080547529,0.832,0.8328609164072528,0.8328609164072529,"{""2e-05"": 0.8193043514287428, ""5e-05"": 0.8226963080547529, ""8e-05"": 0.8222515098690651}"
