context_level,representation,outer_fold,best_lr,best_inner_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,lr_scores_json
L4,deberta_base_finetune_bs32_fp32,0,2e-05,0.8242250988962496,0.827,0.8264332622257863,0.8264332622257862,"{""5e-06"": 0.795315452305783, ""1e-05"": 0.8112602756882996, ""2e-05"": 0.8242250988962496}"
L4,deberta_base_finetune_bs32_fp32,1,2e-05,0.8224544694726829,0.831,0.8304171362107391,0.8304171362107392,"{""5e-06"": 0.7915978684249533, ""1e-05"": 0.8116214827508134, ""2e-05"": 0.8224544694726829}"
L4,deberta_base_finetune_bs32_fp32,2,2e-05,0.8205486356526123,0.8345,0.8347756212919709,0.834775621291971,"{""5e-06"": 0.792962719227309, ""1e-05"": 0.8095285764298618, ""2e-05"": 0.8205486356526123}"
L4,deberta_base_finetune_bs32_fp32,3,2e-05,0.8218788216730601,0.829,0.8286623334664494,0.8286623334664494,"{""5e-06"": 0.7904727966753198, ""1e-05"": 0.8139140868277012, ""2e-05"": 0.8218788216730601}"
L4,deberta_base_finetune_bs32_fp32,4,2e-05,0.817211563266851,0.85,0.8496355839567034,0.8496355839567035,"{""5e-06"": 0.7879013281654057, ""1e-05"": 0.803161133171964, ""2e-05"": 0.817211563266851}"
L4,deberta_base_finetune_bs32_fp32,5,2e-05,0.8257335188398223,0.816,0.8152310063407239,0.8152310063407238,"{""5e-06"": 0.7923620767868936, ""1e-05"": 0.809449488490369, ""2e-05"": 0.8257335188398223}"
L4,deberta_base_finetune_bs32_fp32,6,2e-05,0.8234171020399471,0.836,0.8344918439782673,0.8344918439782673,"{""5e-06"": 0.7941595488780147, ""1e-05"": 0.8123685062794318, ""2e-05"": 0.8234171020399471}"
L4,deberta_base_finetune_bs32_fp32,7,2e-05,0.8237733976856534,0.834,0.8323705380125885,0.8323705380125885,"{""5e-06"": 0.7960093174220025, ""1e-05"": 0.8103077749859239, ""2e-05"": 0.8237733976856534}"
L4,deberta_base_finetune_bs32_fp32,8,2e-05,0.8185950322983068,0.852,0.8516920891187928,0.8516920891187929,"{""5e-06"": 0.7905280324631679, ""1e-05"": 0.8080757379132489, ""2e-05"": 0.8185950322983068}"
L4,deberta_base_finetune_bs32_fp32,9,2e-05,0.8193043514287428,0.836,0.8366504125914359,0.8366504125914358,"{""5e-06"": 0.7934314832216378, ""1e-05"": 0.8073292695683966, ""2e-05"": 0.8193043514287428}"
