version,level,csv_type,source_folder,source_file,context_level,representation,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_weighted_f1_mean,test_weighted_f1_std,best_lr_mode,best_lr_counts
V3,L1,summary,L1_bert_V3,deberta_L1_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_summary.csv,L1,deberta_base_finetune_bs32_fp32,0.6395500000000001,0.0093257409595401,0.639605882230998,0.0095208366611441,0.639605882230998,0.0095208366611441,5e-05,"{""5e-05"": 10}"
V3,L2,summary,L2_bert_v3,deberta_L2_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_summary_copy.csv,L2,deberta_base_finetune_bs32_fp32,0.7674,0.0109843322762722,0.7673293670808063,0.0108583709600116,0.7673293670808063,0.0108583709600116,5e-05,"{""5e-05"": 8, ""2e-05"": 2}"
V3,L3,summary,L3_bert_v3,deberta_L3_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_summary.csv,L3,deberta_base_finetune_bs32_fp32,0.8117000000000001,0.0090283504091894,0.8115823630905808,0.0089013574597825,0.8115823630905808,0.0089013574597825,5e-05,"{""5e-05"": 6, ""2e-05"": 4}"
V3,L4,summary,L4_bert_v3,deberta_L4_stable_deberta_base_bs32_fp32_lr2e5_5e5_8e5_summary.csv,L4,deberta_base_finetune_bs32_fp32,0.83575,0.0065415339689301,0.8353778602830382,0.0066058102001421,0.8353778602830382,0.0066058102001422,5e-05,"{""5e-05"": 9, ""2e-05"": 1}"
