context_level,outer_fold,class_0_f1,class_1_f1,class_2_f1,class_3_f1,class_4_f1,class_5_f1,class_6_f1,class_7_f1,class_8_f1,class_9_f1
L3,0,0.8578680203045685,0.6504854368932038,0.8452088452088452,0.9057591623036648,0.8957345971563981,0.8186528497409327,0.8648648648648648,0.8622448979591837,0.5912596401028276,0.7775061124694376
L3,1,0.8557213930348259,0.6560364464692483,0.8608247422680413,0.9145728643216081,0.8933002481389578,0.8179551122194513,0.8878048780487805,0.8492462311557788,0.6091644204851752,0.8
L3,2,0.830379746835443,0.5876543209876544,0.8728179551122195,0.8984771573604061,0.877450980392157,0.8325123152709358,0.8960396039603961,0.8542713567839195,0.6169154228855721,0.7958656330749354
L3,3,0.839622641509434,0.6376146788990826,0.8721804511278195,0.9014778325123154,0.9004975124378108,0.8431372549019608,0.9002557544757034,0.8298969072164949,0.6043956043956045,0.7905759162303665
L3,4,0.8668280871670703,0.6551724137931035,0.8659793814432989,0.8994974874371859,0.9141414141414141,0.8304668304668306,0.9041769041769042,0.885,0.6616541353383459,0.7668393782383419
L3,5,0.8447837150127224,0.6270783847980997,0.8697788697788698,0.9054726368159204,0.8684863523573201,0.8089330024813896,0.8781725888324873,0.8375634517766498,0.5974683544303797,0.8247422680412372
L3,6,0.8282828282828283,0.6127450980392157,0.8822055137844611,0.9185185185185186,0.905,0.8221153846153847,0.8933002481389578,0.8442211055276383,0.6233062330623307,0.788177339901478
L3,7,0.8396946564885495,0.6063348416289593,0.8689320388349514,0.9113924050632911,0.8883248730964467,0.8240963855421686,0.8938271604938272,0.87,0.5480225988700564,0.7538461538461538
L3,8,0.8578680203045685,0.6893424036281179,0.86810551558753,0.8934010152284264,0.8960396039603961,0.8542713567839195,0.912280701754386,0.8380462724935733,0.6391184573002754,0.8329177057356607
L3,9,0.8132992327365729,0.6586538461538463,0.8423645320197045,0.8979591836734694,0.8549222797927462,0.8312342569269522,0.8684863523573201,0.8484848484848485,0.6501240694789082,0.7804878048780488
