context_level,outer_fold,class_0_f1,class_1_f1,class_2_f1,class_3_f1,class_4_f1,class_5_f1,class_6_f1,class_7_f1,class_8_f1,class_9_f1
L1,0,0.7325301204819278,0.48186528497409326,0.6552567237163816,0.722077922077922,0.7688564476885645,0.5839793281653747,0.7761194029850748,0.6196473551637279,0.45386533665835416,0.6437346437346438
L1,0,0.7246376811594203,0.47500000000000003,0.6921241050119332,0.7157894736842104,0.7318295739348372,0.5843828715365238,0.7868020304568527,0.6259541984732825,0.4205128205128206,0.6183574879227053
L1,1,0.7639902676399027,0.4540816326530613,0.6734177215189874,0.731958762886598,0.6898263027295285,0.6217616580310881,0.7794117647058824,0.645,0.4755244755244756,0.6288659793814433
L1,2,0.7027027027027027,0.4975124378109453,0.6777251184834123,0.7499999999999999,0.7079207920792078,0.6582914572864322,0.7865707434052758,0.5808219178082192,0.42995169082125606,0.6149870801033591
L1,3,0.7277227722772278,0.4240963855421686,0.7014925373134329,0.7129186602870814,0.6870588235294117,0.5943152454780362,0.7740259740259741,0.5674931129476584,0.3667481662591687,0.5918367346938774
L1,4,0.6962616822429907,0.49289099526066354,0.6564885496183206,0.7272727272727272,0.7197943444730077,0.6265664160401003,0.7858823529411764,0.5660377358490566,0.5257985257985258,0.6108108108108108
L1,5,0.7017543859649122,0.47174447174447176,0.7294685990338164,0.7204030226700252,0.7397959183673469,0.629156010230179,0.7848101265822786,0.6424870466321244,0.4625850340136054,0.6296296296296295
L1,6,0.7169811320754718,0.4607843137254902,0.7043701799485862,0.7587939698492463,0.74,0.6054590570719603,0.734375,0.6486486486486487,0.38659793814432986,0.656641604010025
L1,7,0.7401574803149606,0.4766839378238342,0.6828087167070217,0.755,0.7277353689567431,0.6142131979695431,0.7692307692307692,0.6258503401360545,0.3969072164948454,0.6185567010309279
L1,8,0.729528535980149,0.49363867684478374,0.7230046948356806,0.7368421052631577,0.7029702970297029,0.6066838046272494,0.7788944723618091,0.5772151898734177,0.4428571428571429,0.6122448979591836
L1,9,0.7076167076167076,0.4973821989528796,0.6666666666666666,0.7286821705426357,0.6716417910447763,0.6555023923444976,0.7519582245430809,0.6683417085427136,0.4390243902439024,0.6370370370370371
