context_level,representation,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
L1,tfidf,0.562,0.0071840873540840715,0.562452685426396,0.007576604341760526,0.5624526854263959,0.007576604341760505
L1,tfidf_pos,0.5633,0.007909909396868368,0.5641452372694356,0.008218052018347742,0.5641452372694356,0.00821805201834774
L2,tfidf,0.68965,0.012202117302610501,0.6898838898000452,0.011956391843121661,0.6898838898000453,0.011956391843121708
L2,tfidf_pos,0.69015,0.010883346094938911,0.6909398790047744,0.010743155065563424,0.6909398790047743,0.010743155065563429
L3,tfidf,0.7159500000000001,0.008001562347441895,0.7158188656317945,0.007786177198277785,0.7158188656317945,0.0077861771982777475
L3,tfidf_pos,0.7207999999999999,0.010217631819555862,0.7208861438139691,0.009909369332323887,0.7208861438139691,0.009909369332323923
L4,tfidf,0.7356,0.009831355733343976,0.734902230109971,0.010008049855786884,0.7349022301099709,0.010008049855786932
L4,tfidf_pos,0.7394499999999999,0.010899668700367824,0.7390646996430796,0.011160618980469491,0.7390646996430796,0.011160618980469455
