context_level,model,outer_fold,label,f1
L2,bilstm_word2vec,2,0,0.48735632183908045
L2,bilstm_word2vec,2,1,0.32244897959183677
L2,bilstm_word2vec,2,2,0.4197530864197531
L2,bilstm_word2vec,2,3,0.6394230769230769
L2,bilstm_word2vec,2,4,0.09282700421940927
L2,bilstm_word2vec,2,5,0.17846153846153845
L2,bilstm_word2vec,2,6,0.467065868263473
L2,bilstm_word2vec,2,7,0.26666666666666666
L2,bilstm_word2vec,2,8,0.28940568475452194
L2,bilstm_word2vec,2,9,0.3504273504273504
L2,bilstm_word2vec,3,0,0.5490196078431372
L2,bilstm_word2vec,3,1,0.14598540145985403
L2,bilstm_word2vec,3,2,0.33810888252148996
L2,bilstm_word2vec,3,3,0.5642023346303502
L2,bilstm_word2vec,3,4,0.18941504178272986
L2,bilstm_word2vec,3,5,0.04484304932735426
L2,bilstm_word2vec,3,6,0.4384
L2,bilstm_word2vec,3,7,0.3804034582132565
L2,bilstm_word2vec,3,8,0.3636363636363636
L2,bilstm_word2vec,3,9,0.2834331337325349
L2,bilstm_word2vec,4,0,0.5256410256410257
L2,bilstm_word2vec,4,1,0.3273381294964029
L2,bilstm_word2vec,4,2,0.4776785714285714
L2,bilstm_word2vec,4,3,0.583941605839416
L2,bilstm_word2vec,4,4,0.35535307517084286
L2,bilstm_word2vec,4,5,0.12549019607843137
L2,bilstm_word2vec,4,6,0.5206812652068127
L2,bilstm_word2vec,4,7,0.30935251798561153
L2,bilstm_word2vec,4,8,0.1971830985915493
L2,bilstm_word2vec,4,9,0.22163588390501318
L2,bilstm_word2vec,5,0,0.44692737430167606
L2,bilstm_word2vec,5,1,0.2540415704387991
L2,bilstm_word2vec,5,2,0.38317757009345793
L2,bilstm_word2vec,5,3,0.493006993006993
L2,bilstm_word2vec,5,4,0.06477732793522267
L2,bilstm_word2vec,5,5,0.136986301369863
L2,bilstm_word2vec,5,6,0.3926605504587156
L2,bilstm_word2vec,5,7,0.16286644951140064
L2,bilstm_word2vec,5,8,0.34805194805194806
L2,bilstm_word2vec,5,9,0.11023622047244096
L2,bilstm_word2vec,6,0,0.55625
L2,bilstm_word2vec,6,1,0.009950248756218907
L2,bilstm_word2vec,6,2,0.42631578947368426
L2,bilstm_word2vec,6,3,0.6588235294117648
L2,bilstm_word2vec,6,4,0.3155080213903743
L2,bilstm_word2vec,6,5,0.019417475728155338
L2,bilstm_word2vec,6,6,0.0
L2,bilstm_word2vec,6,7,0.4207492795389049
L2,bilstm_word2vec,6,8,0.1111111111111111
L2,bilstm_word2vec,6,9,0.25697503671071953
L2,bilstm_word2vec,7,0,0.46365422396856587
L2,bilstm_word2vec,7,1,0.1520912547528517
L2,bilstm_word2vec,7,2,0.4195804195804196
L2,bilstm_word2vec,7,3,0.5925925925925927
L2,bilstm_word2vec,7,4,0.1836734693877551
L2,bilstm_word2vec,7,5,0.07142857142857142
L2,bilstm_word2vec,7,6,0.41255605381165916
L2,bilstm_word2vec,7,7,0.30914826498422715
L2,bilstm_word2vec,7,8,0.3409490333919156
L2,bilstm_word2vec,7,9,0.24712643678160917
L2,bilstm_word2vec,8,0,0.501010101010101
L2,bilstm_word2vec,8,1,0.28502415458937197
L2,bilstm_word2vec,8,2,0.42631578947368426
L2,bilstm_word2vec,8,3,0.6323907455012853
L2,bilstm_word2vec,8,4,0.21118012422360247
L2,bilstm_word2vec,8,5,0.2595419847328244
L2,bilstm_word2vec,8,6,0.49721706864564014
L2,bilstm_word2vec,8,7,0.28975265017667845
L2,bilstm_word2vec,8,8,0.3185011709601874
L2,bilstm_word2vec,8,9,0.25698324022346375
L2,bilstm_word2vec,9,0,0.2823529411764706
L2,bilstm_word2vec,9,1,0.1870967741935484
L2,bilstm_word2vec,9,2,0.3966005665722379
L2,bilstm_word2vec,9,3,0.5924369747899161
L2,bilstm_word2vec,9,4,0.189873417721519
L2,bilstm_word2vec,9,5,0.14666666666666667
L2,bilstm_word2vec,9,6,0.4378698224852071
L2,bilstm_word2vec,9,7,0.4140625
L2,bilstm_word2vec,9,8,0.2977777777777778
L2,bilstm_word2vec,9,9,0.25
L2,bilstm_word2vec,10,0,0.4420289855072464
L2,bilstm_word2vec,10,1,0.2963917525773196
L2,bilstm_word2vec,10,2,0.3879310344827586
L2,bilstm_word2vec,10,3,0.579646017699115
L2,bilstm_word2vec,10,4,0.25654450261780104
L2,bilstm_word2vec,10,5,0.06872852233676977
L2,bilstm_word2vec,10,6,0.425531914893617
L2,bilstm_word2vec,10,7,0.13636363636363635
L2,bilstm_word2vec,10,8,0.05833333333333334
L2,bilstm_word2vec,10,9,0.0
L3,bilstm_word2vec,1,0,0.6411483253588517
L3,bilstm_word2vec,1,1,0.34210526315789475
L3,bilstm_word2vec,1,2,0.47817836812144215
L3,bilstm_word2vec,1,3,0.7043701799485862
L3,bilstm_word2vec,1,4,0.2145593869731801
L3,bilstm_word2vec,1,5,0.33628318584070793
L3,bilstm_word2vec,1,6,0.6274509803921569
L3,bilstm_word2vec,1,7,0.3505154639175258
L3,bilstm_word2vec,1,8,0.22525597269624573
L3,bilstm_word2vec,1,9,0.39618138424821
L3,bilstm_word2vec,2,0,0.5809128630705395
L3,bilstm_word2vec,2,1,0.38207547169811323
L3,bilstm_word2vec,2,2,0.41714285714285715
L3,bilstm_word2vec,2,3,0.7344913151364765
L3,bilstm_word2vec,2,4,0.17663817663817666
L3,bilstm_word2vec,2,5,0.4020356234096692
L3,bilstm_word2vec,2,6,0.49287749287749294
L3,bilstm_word2vec,2,7,0.4097859327217126
L3,bilstm_word2vec,2,8,0.06986899563318778
L3,bilstm_word2vec,2,9,0.3834808259587021
L3,bilstm_word2vec,3,0,0.6909090909090909
L3,bilstm_word2vec,3,1,0.3915094339622642
L3,bilstm_word2vec,3,2,0.567741935483871
