context_level,outer_fold,class_0_f1,class_1_f1,class_2_f1,class_3_f1,class_4_f1,class_5_f1,class_6_f1,class_7_f1,class_8_f1,class_9_f1
L4,0,0.858560794044665,0.6928746928746928,0.8571428571428571,0.9141414141414141,0.8943488943488944,0.8512820512820513,0.8937198067632851,0.8704663212435233,0.6337662337662338,0.7980295566502462
L4,1,0.8790123456790123,0.7002288329519452,0.8771929824561404,0.9280397022332506,0.918781725888325,0.8444444444444444,0.8894348894348894,0.875,0.6574585635359117,0.8041237113402062
L4,2,0.845771144278607,0.6995073891625615,0.8992628992628994,0.9273182957393483,0.8905472636815921,0.8721804511278195,0.9207920792079208,0.884318766066838,0.6601466992665038,0.8146214099216711
L4,3,0.8509615384615384,0.6699507389162562,0.8994974874371859,0.9077306733167083,0.8982630272952853,0.8839506172839507,0.903061224489796,0.8838383838383839,0.6259541984732825,0.7897435897435898
L4,4,0.8856447688564477,0.7047619047619048,0.8730964467005077,0.8987654320987655,0.9081632653061226,0.85995085995086,0.9135802469135802,0.8916876574307305,0.680628272251309,0.8113695090439277
L4,5,0.8489583333333334,0.6485148514851484,0.8840579710144928,0.9253731343283582,0.8762376237623763,0.8349514563106797,0.8928571428571429,0.8686868686868686,0.6493506493506493,0.8255528255528256
L4,6,0.85,0.6486486486486486,0.8883248730964467,0.9310344827586207,0.9238329238329238,0.8478802992518704,0.9064039408866995,0.8664987405541562,0.6567164179104478,0.8057553956834531
L4,7,0.8542199488491049,0.7011764705882353,0.9135802469135802,0.93734335839599,0.8956743002544529,0.8537170263788969,0.9024390243902439,0.8784119106699751,0.6318681318681318,0.8346055979643766
L4,8,0.8844221105527638,0.7230046948356806,0.8735083532219571,0.903061224489796,0.9038461538461539,0.8673469387755102,0.9145728643216081,0.8775510204081632,0.6527415143603132,0.8333333333333333
L4,9,0.8298969072164949,0.7139240506329114,0.8515815085158152,0.921875,0.8753180661577609,0.8762376237623763,0.8994974874371859,0.858611825192802,0.7007299270072993,0.8009367681498829
