context_level,representation,outer_fold,best_C,inner_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1
L4,tfidf_pos,1,1,0.7275674306215792,0.7285,0.7284689232256117,0.7284689232256119
L4,tfidf_pos,2,1,0.722613982772694,0.7485,0.7490653838667811,0.7490653838667813
L4,tfidf_pos,3,1,0.724214998902082,0.725,0.7247260076181111,0.7247260076181112
L4,tfidf_pos,4,1,0.7256717345262785,0.7375,0.7373605720417886,0.7373605720417886
L4,tfidf_pos,5,1,0.7264731616234642,0.753,0.7521811098570229,0.7521811098570229
L4,tfidf_pos,6,1,0.7241966553869128,0.726,0.7239513621975424,0.7239513621975425
L4,tfidf_pos,7,1,0.7247419796476523,0.753,0.75161096489495,0.75161096489495
L4,tfidf_pos,8,1,0.7217546049382455,0.7485,0.749038642216852,0.7490386422168519
L4,tfidf_pos,9,1,0.7246498026764906,0.7345,0.7329173209501749,0.7329173209501749
L4,tfidf_pos,10,1,0.7236652155139174,0.74,0.7413267095619599,0.7413267095619598
